"","n","parameter","estimation"
"1","100","mu",-0.00178281573761558
"2","100","mu",-0.097439861975307
"3","100","mu",-0.0156154736254352
"4","100","mu",0.0632647091952729
"5","100","mu",0.060603514458045
"6","100","mu",-0.00542822886045084
"7","100","mu",0.0296926526891731
"8","100","mu",-0.0277621733829739
"9","100","mu",-0.0106316523736727
"10","100","mu",0.00836981102248041
"11","100","mu",-0.0266827178762603
"12","100","mu",-0.052506763435158
"13","100","mu",-0.00805887838868046
"14","100","mu",0.0248726555968096
"15","100","mu",0.0265967945814626
"16","100","mu",0.00652303211138947
"17","100","mu",0.0670665923488028
"18","100","mu",-0.0307309218618566
"19","100","mu",0.00861638109141857
"20","100","mu",-0.0541676955139407
"21","100","mu",0.0341434401162692
"22","100","mu",0.130475769106089
"23","100","mu",0.0614379309274185
"24","100","mu",-0.053260314139596
"25","100","mu",-0.0901805656917562
"26","100","mu",0.033915448885998
"27","100","mu",0.00951995242625563
"28","100","mu",-0.0362024834462255
"29","100","mu",0.0296238864058462
"30","100","mu",0.0543063225585482
"31","100","mu",0.015141871348965
"32","100","mu",0.0152493492217134
"33","100","mu",-0.0337395700545092
"34","100","mu",-0.0109548362069031
"35","100","mu",-0.0052507179123051
"36","100","mu",0.000830638901036034
"37","100","mu",-0.0858746919548383
"38","100","mu",-0.00170240157107855
"39","100","mu",0.0269817160502807
"40","100","mu",-0.0419175879036902
"41","100","mu",0.000560562636739606
"42","100","mu",-0.0253676253142347
"43","100","mu",-0.0295984644775856
"44","100","mu",0.0332116455478615
"45","100","mu",-0.00681240467950514
"46","100","mu",0.0248917254438125
"47","100","mu",0.0670691193298313
"48","100","mu",0.0595744279863178
"49","100","mu",-0.0199186816685668
"50","100","mu",-0.0305660159439727
"51","100","mu",-0.0259751120562531
"52","100","mu",-0.0453099711508717
"53","100","mu",-0.0234708364493459
"54","100","mu",0.0534387633590341
"55","100","mu",0.0130829748198998
"56","100","mu",-0.0428039901179294
"57","100","mu",-0.0630894616471898
"58","100","mu",-0.00880383443612255
"59","100","mu",0.0252241515930523
"60","100","mu",0.0323192414903052
"61","100","mu",-0.0731286785617668
"62","100","mu",-0.0304822610872285
"63","100","mu",-0.0252843220909408
"64","100","mu",-0.0182806237732989
"65","100","mu",0.0291141074374689
"66","100","mu",-0.00137011411626881
"67","100","mu",0.056798244652453
"68","100","mu",0.00848044498721805
"69","100","mu",-0.0219231272805865
"70","100","mu",-0.0507959574181605
"71","100","mu",-0.0210844020717081
"72","100","mu",-0.00108311410072707
"73","100","mu",0.00903182126342527
"74","100","mu",0.0453101754802651
"75","100","mu",0.104920048095798
"76","100","mu",-0.0150202019187039
"77","100","mu",-0.0124431922019549
"78","100","mu",0.0133659192102172
"79","100","mu",0.0918151636297574
"80","100","mu",0.0366449452461333
"81","100","mu",-0.017033876509154
"82","100","mu",0.0248896982361028
"83","100","mu",-0.0659860231665524
"84","100","mu",0.0529389061939514
"85","100","mu",0.0254010562331209
"86","100","mu",0.0273751397902165
"87","100","mu",0.0956724086441444
"88","100","mu",0.00813068091259791
"89","100","mu",0.00896792888757447
"90","100","mu",0.0570986547111947
"91","100","mu",0.0144163583100071
"92","100","mu",-0.00695986313657476
"93","100","mu",-0.0672984535962828
"94","100","mu",-0.0257768054185636
"95","100","mu",0.0430259352397877
"96","100","mu",0.0361124053423752
"97","100","mu",-0.0351377373554336
"98","100","mu",0.0210047239568746
"99","100","mu",0.0786472978202021
"100","100","mu",0.0654452733246696
"101","100","omega",0.0368837798067742
"102","100","omega",1e-12
"103","100","omega",0.132165756508438
"104","100","omega",0.000253624151404042
"105","100","omega",1e-12
"106","100","omega",0.019945032446758
"107","100","omega",0.000330052253502567
"108","100","omega",0.000215713330536841
"109","100","omega",0.101998137868253
"110","100","omega",0.000532785668994026
"111","100","omega",1e-12
"112","100","omega",0.0322175722918615
"113","100","omega",0.0236863061072446
"114","100","omega",0.0597362114180792
"115","100","omega",0.0180604534640064
"116","100","omega",0.0113261931605817
"117","100","omega",0.0205496016107795
"118","100","omega",0.0452784145387874
"119","100","omega",0.00650570549385837
"120","100","omega",0.0299203211048314
"121","100","omega",0.0100090838947513
"122","100","omega",0.0056595357822372
"123","100","omega",0.00175557641738491
"124","100","omega",1e-12
"125","100","omega",0.0075274101706523
"126","100","omega",1e-12
"127","100","omega",0.0474887071223963
"128","100","omega",0.0129015473720543
"129","100","omega",1e-12
"130","100","omega",0.00551441958377045
"131","100","omega",0.0222894305161521
"132","100","omega",1e-12
"133","100","omega",1e-12
"134","100","omega",0.0453514245579996
"135","100","omega",1e-12
"136","100","omega",0.0688856499310198
"137","100","omega",0.0286840297962694
"138","100","omega",1e-12
"139","100","omega",0.0477855472791473
"140","100","omega",0.000175196011262094
"141","100","omega",0.0286133266205458
"142","100","omega",0.0210625878276426
"143","100","omega",1e-12
"144","100","omega",0.10627314334278
"145","100","omega",0.113982696867117
